Time [s];Voltage [V];Current [A]
0;14.6;0
0.5;14.6;0
0.9;14.6;0
1.3;14.6;0
1.7;14.6;0
2.1;14.6;0
2.5;14.6;0
3;14.6;0
3.4;14.6;0
3.8;14.6;0
4.2;14.6;0
4.6;14.6;0
5;14.6;0
5.4;14.6;0
5.9;14.6;0
6.3;14.6;0
6.7;14.6;0
7.1;14.6;0
7.5;14.6;0
8;14.6;0
8.4;14.6;0
8.8;14.6;0
9.2;14.6;0
9.6;14.6;0
10;14.6;0
10.5;14.6;0
10.9;14.6;0
11.3;14.6;0
11.7;14.6;0
12.1;14.6;0
12.5;14.6;0
12.9;14.6;0
13.4;14.6;0
13.8;14.6;0
14.2;14.6;0
14.6;14.6;0
15;14.6;0
15.4;14.6;0
15.9;14.6;0
16.3;14.6;0
16.7;14.6;0
17.1;14.6;0
17.5;14.6;0
17.9;14.6;0
18.4;14.6;0
18.8;14.6;0
19.2;14.6;0
19.6;14.6;0
20;14.6;0
20.4;14.6;0
20.9;14.6;0
21.3;14.6;0
21.7;14.6;0
22.1;14.6;0
22.5;14.6;0
22.9;14.6;0
23.4;14.6;0
23.8;14.6;0
24.2;14.6;0
24.6;14.6;0
25;14.6;0
25.4;14.6;0
25.9;14.6;0
26.3;14.6;0
26.7;14.6;0
27.1;14.6;0
27.5;14.6;0
27.9;14.6;0
28.4;14.6;0
28.8;14.6;0
29.2;14.6;0
29.6;14.6;0
30;14.6;0
30.4;14.6;0
30.8;14.6;0
31.3;14.6;0
31.7;14.6;0
32.1;14.6;0
32.5;14.6;0
32.9;14.6;0
33.3;14.6;0
33.7;14.6;0
34.2;14.6;0
34.6;14.6;0
35;14.6;0
35.4;14.6;0
35.8;14.6;0
36.2;14.6;0
36.7;14.6;0
37.1;14.6;0
37.5;14.6;0
37.9;14.6;0
38.3;14.6;0
38.7;14.6;0
39.1;14.6;0
39.6;14.6;0
40;14.6;0
40.4;14.6;0
40.8;14.6;0
41.2;14.6;0
41.6;14.6;0
42.1;14.6;0
42.5;14.6;0
42.9;14.6;0
43.3;14.6;0
43.7;14.6;0
44.1;14.6;0
44.6;14.6;0
45;14.6;0
45.4;14.6;0
45.8;14.6;0
46.2;14.6;0
46.7;14.6;0
47.1;14.6;0
47.5;14.6;0
47.9;14.6;0
48.3;14.6;0
48.7;14.6;0
49.1;14.6;0
49.6;14.6;0
50;14.6;0
50.4;14.6;0
50.8;14.6;0
51.2;14.6;0
51.6;14.6;0
52;14.6;0
52.4;14.6;0
52.9;14.6;0
53.3;14.6;0
53.7;14.6;0
54.1;14.6;0
54.5;14.6;0
54.9;14.6;0
55.3;14.6;0
55.8;14.6;0
56.2;14.6;0
56.6;14.6;0
57;14.6;0
57.4;14.6;0
57.8;14.6;0
58.3;14.6;0
58.7;14.6;0
59.1;14.6;0
59.5;14.6;0
59.9;14.6;0
60.3;14.6;0
60.7;14.6;0
61.2;14.6;0
61.6;14.6;0
62;14.6;0
62.4;14.6;0
62.8;14.6;0
63.2;14.6;0
63.6;14.6;0
64.1;14.6;0
64.5;14.6;0
64.9;14.6;0
65.3;14.6;0
65.7;14.6;0
66.1;14.6;0
66.6;14.6;0
67;14.6;0
67.4;14.6;0
67.8;14.6;0
68.2;14.6;0
68.6;14.6;0
69.1;14.6;0
69.5;14.6;0
69.9;14.6;0
70.3;14.6;0
70.7;14.6;0
71.1;14.6;0
71.6;14.6;0
72;14.6;0
72.4;14.6;0
72.8;14.6;0
73.2;14.6;0
73.6;14.6;0
74;14.6;0
74.5;14.6;0
74.9;14.6;0
75.3;14.6;0
75.7;14.6;0
76.1;14.6;0
76.5;14.6;0
76.9;14.6;0
77.4;14.6;0
77.8;14.6;0
78.2;14.6;0
78.6;14.6;0
79;14.6;0
79.4;14.6;0
79.8;14.6;0
80.3;14.6;0
80.7;14.6;0
81.1;14.6;0
81.5;14.6;0
81.9;14.6;0
82.3;14.6;0
82.8;14.6;0
83.2;14.6;0
83.6;14.6;0
84;14.6;0
84.4;14.6;0
84.8;14.6;0
85.3;14.6;0
85.7;14.6;0
86.1;14.6;0
86.5;14.6;0
86.9;14.6;0
87.3;14.6;0
87.7;14.6;0
88.1;14.6;0
88.6;14.6;0
89;14.6;0
89.4;14.6;0
89.8;14.6;0
90.2;14.6;0
90.7;14.6;0
91.1;14.6;0
91.5;14.6;0
91.9;14.6;0
92.3;14.6;0
92.7;14.6;0
93.1;14.6;0
93.6;14.6;0
94;14.6;0
94.4;14.6;0
94.8;14.6;0
95.2;14.6;0
95.6;14.6;0
96;14.6;0
96.4;14.6;0
96.9;14.6;0
97.3;14.6;0
97.7;14.6;0
98.1;14.6;0
98.5;14.59;0.007
98.9;14.6;0
99.4;14.6;0
99.8;14.6;0
100.2;14.6;0
100.6;14.25;0.045
101;14.23;0.082
101.4;14.6;0
101.8;14.6;0
102.3;14.6;0
102.7;14.6;0
103.1;14.6;0
103.5;14.6;0
103.9;14.6;0
104.3;14.6;0
104.8;14.6;0
105.2;14.6;0
105.6;14.6;0
106;13.51;0.28
106.4;13.56;0.299
106.8;13.7;0.277
107.2;13.35;0.299
107.7;13.35;0.299
108.1;13.35;0.299
108.5;13.5;0.299
108.9;14.14;0.251
109.3;13.36;0.299
109.7;13.35;0.299
110.2;13.35;0.299
110.6;13.35;0.299
111;14.2;0.144
111.4;13.52;0.299
111.8;13.36;0.299
112.2;13.34;0.299
112.7;13.36;0.299
113.1;13.59;0.299
113.5;13.35;0.299
113.9;13.34;0.299
114.3;13.34;0.299
114.7;14.6;0
115.2;14.6;0
115.6;14.6;0
116;14.6;0
116.4;14.6;0
116.8;14.6;0
117.2;14.6;0
117.6;14.6;0
118;14.6;0
118.5;14.6;0
118.9;14.6;0
119.3;14.6;0
119.7;14.6;0
120.1;14.6;0
120.5;14.6;0
121;14.6;0
121.4;14.6;0
121.8;14.6;0
122.2;14.6;0
122.6;14.57;0
123;13.44;0.299
123.4;13.64;0.294
123.9;13.37;0.299
124.3;13.39;0.299
124.7;13.35;0.299
125.1;13.37;0.299
125.5;13.35;0.299
126;13.35;0.299
126.4;13.35;0.299
126.8;13.35;0.299
127.2;13.35;0.299
127.6;13.35;0.299
128;13.35;0.299
128.5;13.35;0.299
128.9;13.35;0.299
129.3;13.35;0.299
129.7;13.35;0.299
130.1;13.35;0.299
130.5;13.35;0.299
131;13.35;0.299
131.4;13.35;0.299
131.8;13.35;0.299
132.2;13.35;0.299
132.6;13.35;0.299
133.1;13.35;0.299
133.5;13.35;0.299
133.9;13.35;0.299
134.3;13.35;0.299
134.7;13.35;0.299
135.1;13.35;0.299
135.5;13.35;0.299
136;13.35;0.299
136.4;13.35;0.299
136.8;13.35;0.299
137.2;13.35;0.299
137.6;13.35;0.299
138.1;13.35;0.299
138.5;13.35;0.299
138.9;13.35;0.299
139.3;13.35;0.299
139.7;13.35;0.299
140.1;13.35;0.299
140.6;13.35;0.357
141;13.35;0.514
141.4;13.35;0.599
141.8;13.35;0.599
142.2;13.35;0.728
142.6;13.35;0.798
143.1;13.36;0.951
143.5;13.36;1
143.9;13.36;1
144.3;13.36;1
144.7;13.36;1
145.2;13.36;1
145.6;13.36;1
146;13.36;1
146.4;13.36;1
146.8;13.36;1
147.2;13.36;1
147.7;13.36;1
148.1;13.36;1
148.5;13.36;1
148.9;13.36;1
149.3;13.36;1
149.7;13.36;1
150.1;13.36;1
150.6;13.36;1
151;13.36;1
151.4;13.36;1
151.8;13.36;1
152.3;13.36;1
152.7;13.36;1
153.1;13.36;1
153.5;13.36;1
153.9;13.36;1
154.3;13.36;1
154.7;13.36;1
155.2;13.36;1
155.6;13.36;1
156;13.36;1
156.4;13.36;1
156.8;13.37;1
157.2;13.37;1
157.7;13.37;1
158.1;13.37;1
158.5;13.37;1
158.9;13.37;1
159.3;13.37;1
159.8;13.37;1
160.2;13.37;1
160.6;13.37;1
161;13.37;1
161.4;13.37;1
161.8;13.37;1
162.3;13.37;1
162.7;13.37;1
163.1;13.37;1
163.5;13.37;1
163.9;13.37;1
164.3;13.37;1
164.7;13.37;1
165.2;13.37;1.058
165.6;13.37;1.139
166;13.37;1.299
166.4;13.37;1.399
166.8;13.38;1.444
167.3;13.38;1.595
167.7;13.38;1.714
168.1;13.39;1.796
168.5;13.39;1.805
168.9;13.39;2.01
169.3;13.4;2.095
169.8;13.4;2.095
170.2;13.4;2.129
170.6;13.4;2.23
171;13.4;2.457
171.4;13.4;2.519
171.9;13.41;2.66
172.3;13.41;2.837
172.7;13.42;2.896
173.1;13.42;2.961
173.5;13.43;3.167
173.9;13.43;3.3
174.4;13.43;3.3
174.8;13.44;3.563
175.2;13.44;3.701
175.6;13.44;3.701
176;13.45;3.887
176.4;13.45;4.001
176.9;13.45;4.001
177.3;13.46;4.201
