Time [s];Voltage [V];Current [A]
0;3.5228;0
0.1;3.5228;0
0.2;3.5228;0
0.3;3.5228;0
0.4;3.5228;0
0.5;3.5228;0
0.6;3.5228;0
0.7;3.5228;0
0.8;3.5228;0
0.9;3.5228;0
1;3.5228;0
1.1;3.5228;0
1.2;3.5228;0
1.3;3.5228;0
1.4;3.5228;0
1.5;3.5228;0
1.6;3.5228;0
1.7;3.5228;0
1.8;3.5228;0
1.9;3.5228;0
2;3.5228;0
2.1;3.5228;0
2.2;3.5228;0
2.3;3.5228;0
2.4;3.5228;0
2.5;3.5228;0
2.6;3.5228;0
2.7;3.5228;0
2.8;3.5228;0
2.9;3.5228;0
3;3.5228;0
3.1;3.5228;0
3.2;3.5228;0
3.3;3.5228;0
3.4;3.5228;0
3.5;3.5228;0
3.6;3.5228;0
3.7;3.5228;0
3.8;3.5228;0
3.9;3.5228;0
4;3.5228;0
4.1;3.5228;0
4.2;3.5228;0
4.3;3.5228;0
4.4;3.5228;0
4.5;3.5228;0
4.6;3.5228;0
4.7;3.5228;0
4.8;3.5228;0
4.9;3.5228;0
5;3.5228;0
5.1;3.5228;0
5.2;3.5228;0
5.3;3.5228;0
5.4;3.5228;0
5.5;3.5228;0
5.6;3.5228;0
5.7;3.5228;0
5.8;3.5228;0
5.9;3.5228;0
6;3.5228;0
6.1;3.5228;0
6.2;3.5228;0
6.3;3.5228;0
6.4;3.5228;0
6.5;3.5228;0
6.6;3.5228;0
6.7;3.5228;0
6.8;3.5228;0
6.9;3.5228;0
7;3.5228;0
7.1;3.5228;0
7.2;3.5228;0
7.3;3.5228;0
7.4;3.5228;0
7.5;3.5228;0
7.6;3.5228;0
7.7;3.5228;0
7.8;3.5228;0
7.9;3.5228;0
8;3.5228;0
8.1;3.5228;0
8.2;3.5228;0
8.3;3.5228;0
8.4;3.5228;0
8.5;3.5228;0
8.6;3.5228;0
8.7;3.5228;0
8.8;3.5228;0
8.9;3.5228;0
9;3.5228;0
9.1;3.5228;0
9.2;3.5228;0
9.3;3.5228;0
9.4;3.5228;0
9.5;3.5228;0
9.6;3.5228;0
9.7;3.5228;0
9.8;3.5228;0
9.9;3.5228;0
10;3.5228;0
10.1;3.5228;0
10.2;3.5228;0
10.3;3.5228;0
10.4;3.5228;0
10.5;3.5228;0
10.6;3.5228;0
10.7;3.5228;0
10.8;3.5228;0
10.9;3.5228;0
11;3.5228;0
11.1;3.5228;0
11.2;3.5228;0
11.3;3.5228;0
11.4;3.5228;0
11.5;3.5228;0
11.6;3.5228;0
11.7;3.5228;0
11.8;3.5228;0
11.9;3.5228;0
12;3.5228;0
12.1;3.5228;0
12.2;3.5228;0
12.3;3.5228;0
12.4;3.5228;0
12.5;3.5228;0
12.6;3.5228;0
12.7;3.5228;0
12.8;3.5228;0
12.9;3.5228;0
13;3.5228;0
13.1;3.4587;0
13.2;3.4587;9.9998
13.3;3.4587;9.9998
13.4;3.4587;9.9998
13.5;3.3871;9.9998
13.6;3.3871;9.9998
13.7;3.3871;9.9998
13.8;3.3871;9.9998
13.9;3.3829;9.9998
14;3.3829;9.9998
14.1;3.3829;9.9998
14.2;3.3829;9.9998
14.3;3.3793;9.9998
14.4;3.3793;9.9998
14.5;3.3793;9.9998
14.6;3.3793;9.9998
14.7;3.3762;9.9998
14.8;3.3762;9.9998
14.9;3.3762;9.9998
15;3.3762;9.9998
15.1;3.3732;9.9998
15.2;3.3732;9.9998
15.3;3.3732;9.9998
